[3.025.040]
TEMPRESA            Tabela de Empresas
TECFN630            Cálculo do IRPJ com Base no Lucro Real
TECFN660            Cálculo da CSLL Mensal por Estimativa
TECFN670            Cálculo da CSLL com Base no Lucro Real
TPARAMTRIB          Parâmetros de Tributações Fiscais
TPARNCM             PARNCM
TPEDEMAIL           Configuração de Envio de E-mail de Pedidos de Venda
TECFP200            Apuração da Base de Cálculo do Lucro Presumido
TECFP300            Cálculo do IRPJ com Base no Lucro Presumido
TECFP400            Apuração da Base de Cálculo da CSLL com Base no Lucro Presumido
TECFP500            Cálculo da CSLL com Base no Lucro Presumido
TECFL200            Método de Avaliação do Estoque Final
TECFL210            Informativo da composição do Custo
TUMCONMOV           Temporário para Configurador de Produto
TTRANSTER           Tabela de Transferências Estoque de Terceiros
TECFM010            Identificação da Conta na Parte B do e-Lalur e do e-Lacs
TECFM300            Lançamentos da Parte A
TECFM305            Lançamento na Conta da Parte B
TECFM310            Contas Contábeis Relacionadas ao Lançamento da Parte A
TECFM312            Números dos Lançamentos Relacionados à Conta Contábil
TECFM315            Identificação de Processos Judiciais e Administrativos Referentes ao Lançamento
TECFM410            Lançamento na Conta da Parte B do e-Lalur e do e-Lacs sem Reflexo na Parte A
TECFX280            Atividades Incentivadas - PJ em Geral
TECFX291            Operações com o Exterior - Pessoa Vinculada/Interposta/País com Tributação Favorecida
TECFX292            Operações com o Exterior - Pessoa Não Vinculada/Não Interposta/País sem Tributação Favorecida
TECFX300            Operações com o Exterior - Exportações (Entradas de Dividas)
TECFX310            Operações com o Exterior - Contratantes das Exportações
TECFX320            Operações com o Exterior - Importações (Saídas de Divisas)
TECFX330            Operações com o Exterior - Contratantes das Importações
TECFX340            Identificação da Participação no Exterior
TECFX350            Participações no Exterior - Resultado do Período de Apuração
TECFX351            Demonstrativo de Resultados e de Imposto Pago no Exterior
TECFX352            Demonstrativo de Resultados no Exterior Auferidos por Intermédio de Coligadas em Regime de Caixa
TECFX353            Demonstrativo de Consolidação
TECFX354            Demonstrativo de Prejuízos Acumulados
TECFX355            Demonstrativo de Rendas Ativas e Passiva
TECFX356            Demonstrativo de Estrutura Societária
TECFX430            Rendimentos Relativos a Serviços, Juros e Dividendos Recebidos do Brasil e do Exterior
TECFX490            Pólo Industrial de Manaus e Amazônia Ocidental
TECFY540            Discriminação da Receita De Vendas dos Estabelecimentos por Atividade Econômica
TECFY550            Vendas a Comercial Exportadora com Fim Específico de Exportação
TECFY560            Detalhamento das Exportações da Comercial Exportadora
TECFY570            Demonstrativo do Imposto de Renda e CSLL Retidos na Fonte
TECFY580            Doações a Campanhas Eleitorais
TECFY600            Identificação de Sócios ou Titular
TECFY611            Rendimentos de Dirigentes, Conselheiros, Sócios ou Titular
TECFY671            Outras Informações
TECFY672            Outras Informações (LUCRO Presumido)
TECFY800            Outras Informações
TECFY660            Dados de Sucessoras
TQLACAOIME          Ações Imediatas
TORIMERPRO          Origem de Mercadorias do Produto
TQLRNCDOC           Documentos do Registro de Não Conformidade
TECFY720            Informações de Períodos Anteriores
TIRPJAPU            Apuração do IRPJ/CSLL
TSOLIPROD           Cadastro de Solicitações de Produção Avulsas
TABRMAC             Região de Vendas Macro
TTOQOFIND           Vínculo entre Nota e OF Industrialização Terceiros
TENQIPI             Código de Enquadramento Legal do IPI
TESTSURE            Configuração Estrutura Produto Sucata/Retalho
TGRUSURE            Grupos / Subgrupos de Controle para Sucata e Retalhos
TPROSURE            Configuração Produto Sucata/Retalho
TVESTSURE           Configuração Versão Estrutura Produto Sucata/Retalho
TCADPARAM           Parâmetros da Integração CAD
TFCIUM              Unidades de Medida do FCI
TTOQCOMDES          TOQCOMDES
TLAN2CAI            Outros Créditos por Saída Bancária
TTOQOPINT           Operações Interestaduais de ICMS
TPRODENIPI          Enquadramento do IPI para o Produto
TELYCORTE           Layout para Etiquetas de Plano de Corte
TPLARFB             Plano de Contas Referencial RFB
TGARHIST            Histórico de Movimentos de Garantias
TGARSITUA           Alteração de Situação de Movimento de Garantia
TTIPOASS            Cadastro de Tipos de Assistência Técnica
TDIME34             Tabela de Registro Tipo 34 da DIME
TPEDCOMDES          Comissão dos Itens do Pedido por Desconto
TORCCOMDES          Comissão dos Itens do Orçamento por Desconto
TDOCDCAL            Documentos de Devolução Calibração
TPRODUT3            Cadastro de Produtos
TNOTANT             Cadastro de Notas Antigas
TPAREQUS            Usuário com Permissão para Requisitar/Devolver
TPRENIVL            Cadastro Relação Nível de Preço Comerx X Tipo de Preço Fabril
TPRODEP             Programação por Depósito
TGRSCFOP            CFOP's para Geração da GIA/RS
TGRSCRECOM          Anexo IV Créditos por Compensação da GIA/RS
TGRSCREPRE          Anexo III Créditos Presumidos da GIA/RS
TGRSCRETRA          Anexo II Créditos por Transferência da GIA/RS
TGRSDADCON          Dados dos Contribuintes para Geração da GIA/RS
TGRSDEBTRA          Anexo VI Débitos por Transferências da GIA/RS
TGRSEXCLU           Anexo I.c, Anexo V.a, V.b e V.c Detalhamentos
TGRSICMST           Anexo VII a e b Substitição Tributária
TGRSINFECO          Informações Econômicas da GIA/RS
TGRSOBSERVA         Registro Observação para GIA/RS
TGRSOUTROS          Anexo XIV e XV Outros Créditos e Outros Débitos GIA/RS
TGRSPGTO            Anexos VIII, IX  e X
TGRSQUAA            Quadro A Gia ICMS/RS Quadro A
TGRSQUAB            Quadro B Apuração do ICMS - Gia/RS
TGRSQUAC            Quadro C Informações Econômicas da GIA/RS
TGRSQUAE            Quadro E Valores do Estoque da GIA/RS
TGRSSUBTRI          Anexo VII Substituição Tributária da GIA/RS
TGRSVALOR           Anexo I e Anexo V -  Valores de Entradas e Saídas para Geração da GIA/RS
TPARAMP7            Parâmetros dos Pedidos - Qualificações Lote Carga
TTABVCLI            Cadastro de Tabelas de Venda por Cliente
TCHECKOUT           Cadastro de Check-Out
TLYXMLQUO           Layout XML Importação Quote
TNFEPP              Integração com a tabela CBD001EVENTOSPEDIDOPRORROGACAO
TDESPAT             Despesas do Patrimônio
TUMDESPAT           Temporário de Despesas do Patrimônio
TFCPSTUF            FCP sobre ICMS-ST por Classificação Fiscal e Estado
TPADNFSE            Padrões NFS-e
TRECLASSIFICA       Cadastro de Reclassificação de Produtos
TATUBACA            Informações sobre BACAS de atualizações
TTPTREL             Relação de Tipos de Título
TCOMPRAST           Substituição Tributária - ICMS
TNCOTAST            Substituição Tributária - ICMS
TNFNUMCOMPLETO      Número Completo da Nota Fiscal
TCONFNUMSER         Configuração de Números de Série
TTITCTBDEB          Informações Contábeis de Débito ref. Outros Débitos
TCONFASS            Relacionamento Produto Configurado com Assistência Técnica
TCONFORC            Relacionamento Produto Configurado com Orçamento Padrão
TLALURCTB           Apuração do Lalur e Lacs na Contabilidade
TCTE                Cadastro de CT-e
TLOGUSDSU           Sugestão de Marcação de Depósitos por Usuário
TPADISSCOD          Cadastro dos Códigos de ISSQN conforme Padrões da NFS-e
TPADOPERA           Cadastro de Códigos de ISSQN conforme Padrões da NFS-e
TUTRIB              Cadastro de Unidade de Medida Tributável
TPRJEXSIM           Projetos Expedição Simplificada
TRECLITXT           Relaciona Texto com Cliente
TLYOCOMP            Cadastro de Layout de Importação de Ordens de Compra
TPARAMP9            Usuários Alteração e Exclusão em Pedidos Vinculados a NF's
TCMPPAR7            Usuários para Atendimento do Pedido
TCOMIPARAM          Parâmetros de Comissão
TCONFTOOL           Configuração Tooltip
TUMARQUSO           Temporário de Arquivos XML em Uso
TCMPPAR8            Usuários para Liberação de Crítica de Limite de Crédito de Compra
TCONFANDA           Configuração de Produtos em Andamento
TDESPEDIV           Cadastro de Despesas Diversas de Produção
TORDESPESA          Despesas Diversas das Ordens de Serviço
TOSITENS            Itens de Pedidos / Assistências Vinculados a OS's
TPARCTRAP           Transportadoras Próprias
TECF0021            Parâmetros de Identificação dos Tipos de Programa
TFCPICMSUF          FCP sobre ICMS por Classificação Fiscal e Estado
TOPEFUT             Operações de Entrega Futura
TVENTPEDCO          Tipos de Pedido sem Desconto na Base de Comissão para Vendedor
TCONCFOP            Cadastro de CFOP para Verificação de Condições de Pagamento
TCONDPA2            Tabela de Regra de Aplicação de Condição de Pagamento
TCMPPAR9            Usuários para Liberação de Pedido de Compra sem OC do Produto
TPARAMRNC           Parâmetros de Relatórios de Não Conformidade
THISINVENT          Histórico de Inventário
TPEDOBSITEM         Cadastro de Observação da Produção para Item do Pedido
TCONQUALIF          Cadastro de Qualificações para Não Sugerir Condição de Pagamento
TPOSIFUNCI          Posição Financeira Funcionários
TENQFCFOP            CFOPs para Enquadramento de Fretes por Valor de Nota
TENQFRETE           Enquadramentos de Fretes no Lote de Carga
TFCMSTA             Alteração Status Fornecedor X Material
TRAST057            Rastreabilidade dos Movimentos
TUMACABAM           Temporário para Marcação de Acabamentos
TCAMHISTO           Histórico de Controle de Atendimento / Montagem
TINSTPARAM          Parâmetros Controle de Instrumentos
TPAREXUSE           Usuários para Liberação de Separação / Embarque na Expedição Simplificada
TMMNFREF            NF Referência
TPARAMMM            Parâmetros MadeiraMadeira
TPARATUEXE          Parâmetros de Atualização de Arquivos do Executável
TREGNOI1            Usuários Template Notificação Interna
TREGNOIN            Template Notificação Interna
TLYEXPTXT           Cadastro Layout de Exportação Arquivo TXT
TPARARE1            Parâmetro Representante Envio Automático
TENQFQUALI          Cadastro de Qualificações Desconsideradas no Enquadramento de Frete
TLOTOFS             Origens dos Itens na Produção das OFs do Lote
TFCPNORICMS         FCP ICMS Normal por Classificação Fiscal e Estado
TPMETAS             Metas por produto
TTAGSCONV           Cadastro de Conversão de Arquivos XML de NFS-e
TPACKING            PACKING LIST (Lista de Embalagem)
TELYPACKING         Layout de Etiqueta do Packing List
TLOGUSTOKEN         Token para Usuários dos Sistemas
TSEREXP5            Pagamento dos Títulos Enviados SERASA
TLYIMPTXT           Cadastro Layout de Importações Gerais
TLICE000            Licença do Sistema
TCOMVLDES           Desconto em Valor do Pedido de Compra
TBANDEIRA           Bandeiras de Cartão de Crédito e Débito
TCARTAO             Cartão de Crédito e Débito
TCREDENCIA          Credenciadoras de Cartão de Crédito e Débito
TMARGRUP            Padrão de Marcação de Grupos e Subgrupos
TNOTCTENT           Informações da Carga Transportada
TPARAMPA            Parâmetros Auxiliares da PARAMPED
TTXTEMAIL           Texto E-mail por Usuário
TALPC00             Cadastro de Alterações do Plano de Contas
TTITNCOBR           Valor Títulos Não Cobráveis
TTINSPTEC           Template de Informações Técnicas
TPAREQD2            Parâmetros Requisições e Devoluções 2
TCIASSDES           Comissão dos Itens da Assistência por Desconto
TEXPVALD            Pedido Exportação - Valor do Desconto
TUMPRALTES          Instrumentos / Ferramentas
TUMPROCALT          Temporário Processo Alternativo
TUMPROESP           Especificação Técnica
TNOT2PARAM          Parâmetros das Notas ( auxiliar de parâmetros das notas de saída )
TUMPARCART          Temporário das Parcelas de Cartão de Crédito e Débito
TISOCONTRO          Controle ISO
TDSMONTA            Cadastro de Desmontagens
TDOCXML             Arquivos XML dos Documentos
TECFV010            DEREX - Instituição
TECFV020            DEREX - Responsável pela Movimentação
TECFV030            DEREX - Demonstrativo dos Recursos em Moeda Estrangeira
TASSDADT            Informações Técnicas para Assistência Técnica
TPROPAR1            Usuários para Manutenção de Processo
TDIME35             Demonstrativo da Apuração do Imposto Devido
TSOLIMAN            Solicitação de Manutenção
TNFSELOCAL          Local de Prestação de Serviço da NFS-e
TAGCFEVENTO         Eventos de Custo Fixo
TAGCVEVENTO         Eventos de Custo Variável
TUMORDACT           Temporário Ordem de Lançamento ActCut
TBENEFISC           Benefícios Fiscais
TEFRLOGS            Logs do SPED Reinf
TORDINFO            Informações Técnicas da Ordem
TPROFORMA           Cadastro Proforma Invoice
TAPVPAR3            Data de Modificação do Parâmetro IPI
TLACFLOA            Lançamentos Relacionados de Floating
TCFOPREINF          Cadastro de CFOPs para SPED Reinf
TPARAM10            Usuários com permissão
TCEEBLK             Correção de Estoque Escriturado pelo Bloco K
TCEEBLK1            Movimentos de Correção de Estoque Escriturado pelo Bloco K
TCFOPDV             CFOP's de Devolução
TCFOPRERM           CFOP's de Retorno/Remessa
TCMPPA10            Cadastro de Períodos
TINT000             Cadastro Integrações Realizadas
TMDFCARGA           Informações dos Documentos
TOREEOBS            Observação da Produção Itens Orçamento Especial - vários Produtos Estrutura
TOREOBSI            Observação da Produção Itens Orçamento Especial - vários Produtos
TORPOBSI            Observação da Produção Itens Orçamento Padrão
TUMVARIA            Temporário de Variações de Acabamento
TPRIOORC            Controle de Prioridades dos Orçamentos
TCLICOMER           Cadastro Integração Industrial X Comerx
TECDK100            Relação das Empresas Consolidadas
TECDK110            Relação dos Eventos Societários
TECDK115            Empresas Participantes do Evento Societário
TECDK200            Plano de Contas Consolidado
TECDK210            Mapeamento para Planos de Contas das Empresas Consolidadas
TECDK300            Saldos das Contas Consolidadas
TECDK310            Empresas Detentoras das Parcelas do Valor Eliminado Total
TECDK315            Empresas Contrapartes das Parcelas do Valor Eliminado Total
TPRODADFIS          Cadastro de Dados Fiscais
TPRODTACAB          Cadastro de Tipos de Acabamentos em Produtos
TEFP1050            Detalhamento Ajustes Base de Cálculo - Valores Extra Apuração
TTITFJUROS          Juros de Financiamento de Outros Títulos
TPESTATUS           Estatus do Pedido de Venda
